,Imie,Data modyfikacji,Rozszerzenie,Nazwa pliku,Liczba znaków:,Liczba wierszy,Laczna dlugosc komentarzy,Liczba pustych linii,Najdłuższe słowo,Długośc pierwszego komentarza,Srednia liczba znaków w wierszu,Liczba wierszy zakonczonych srednikiem,"Liczba wierszy, ktore powinny sie konczyc srednikiem","Liczba operatorów: +, -, *, /, =, :, ./, .*",Liczba operatorow otoczonych spacjami,Liczba zbyt długich linii
0,Sebastian,2023-10-08,m,heron.m,81,4,0,0,sqrt(s*(s-a)*(s-b)*(s-c));,0,19.5,2,2,6,5,0
1,Sebastian,2023-10-08,m,MN_IAD_lab1.m,2289,163,49,29,disp(load('lab1.mat').wyr1);,34,13.042944785276074,72,77,89,53,1
2,Sebastian,2023-10-08,m,myfunc.m,44,3,0,0,2*x*sin(x^2);,0,14.0,1,1,2,2,0
3,Sebastian,2023-10-12,m,func.m,71,4,1,0,function,1,17.0,1,1,2,2,0
4,Sebastian,2023-11-22,m,lab_02.m,375,26,7,6,"{'N','x','yaprox','yreal','yblad'};",1,13.423076923076923,13,13,25,11,1
5,Sebastian,2023-10-12,m,szeregBlad.m,357,12,1,3,randi(length(x))*pi/100;,1,28.833333333333332,3,4,10,6,1
6,Sebastian,2023-10-12,m,szeregSin.m,464,20,3,3,factorial(2*k+1));,2,22.25,5,6,17,9,0
7,Sebastian,2023-10-19,m,func.m,50,3,0,0,function,0,16.0,1,1,3,3,0
8,Sebastian,2023-11-22,m,lab_3.m,183,14,2,8,"pochodnaWykres(x,",1,12.071428571428571,4,4,3,3,0
9,Sebastian,2023-10-19,m,pochodnaD.m,116,4,1,0,pochodnaD(x),1,28.25,1,1,3,2,0
10,Sebastian,2023-11-21,m,pochodnaP.m,223,7,1,0,"pochodnaP(x,",1,31.0,2,2,7,6,1
11,Sebastian,2023-11-22,m,pochodnaTable.m,299,4,0,0,"pochodnaTable(x,f,pd,pp,n)",0,74.0,2,2,8,6,2
12,Sebastian,2023-11-24,m,pochodnaWykres.m,736,24,1,0,"pochodnaWykres(x,f,pd,pp,n)",1,29.708333333333332,18,19,17,6,0
13,Sebastian,2023-11-04,m,sin3dpokazowe2.m,509,34,5,8,camlight('headlight'),5,14.970588235294118,7,21,14,2,1
14,Sebastian,2023-10-26,m,lab_4.m,149,9,2,1,"szeregLnPlot(x,",1,15.666666666666666,6,6,5,5,0
15,Sebastian,2023-11-04,m,sruba_pokaz.m,360,24,1,4,"plot3(y,x,t,'r');view(0,90);",1,14.0,10,19,11,11,0
16,Sebastian,2023-10-26,m,szeregLn.m,502,16,6,0,(((-1).^Nmat).*(xmat.^(Nmat+1)))./(factorial(Nmat+1));,1,30.4375,6,6,21,10,1
17,Sebastian,2023-10-26,m,szeregLnPlot.m,1152,37,5,3,-------------------------------------------------------------------------------------,1,30.16216216216216,17,21,17,4,6
18,Sebastian,2023-11-04,m,zajecia4.m,657,36,22,4,"hist(y,[-1,0,0.5,1])%,[-1,-0.5,0,0.5,1])",21,17.25,4,8,8,5,0
19,Sebastian,2023-11-08,m,lab_5.m,447,25,2,1,"disp(""Przykład",1,16.92,14,22,16,10,0
20,Sebastian,2023-11-08,m,rozklad.m,525,23,6,5,okreslonosc_formy],4,21.869565217391305,6,6,22,20,1
21,Sebastian,2023-11-15,m,funkcjadointerpolacji.m,84,5,0,2,"nthroot(sin(x).^5-cos(x).^(3),",0,16.0,1,1,2,2,0
22,Sebastian,2023-11-15,m,ilorazr.m,311,13,4,2,interpolacyjnego,4,23.0,3,3,14,7,0
23,Sebastian,2023-11-16,m,main.m,429,18,4,1,"wielowykres(@funkcjadointerpolacji,",1,22.88888888888889,10,13,10,5,0
24,Sebastian,2023-11-15,m,myhorner.m,180,8,0,2,length(x)-1:-1:1,0,21.625,2,2,7,6,0
25,Sebastian,2023-11-16,m,wielowykres.m,588,22,0,3,"'HandleVisibility','off')",0,25.772727272727273,5,17,6,6,2
26,Sebastian,2023-10-19,m,func.m,50,3,0,0,function,0,16.0,1,1,3,3,0
27,Sebastian,2023-11-22,m,lab_3.m,183,14,2,8,"pochodnaWykres(x,",1,12.071428571428571,4,4,3,3,0
28,Sebastian,2023-10-19,m,pochodnaD.m,116,4,1,0,pochodnaD(x),1,28.25,1,1,3,2,0
29,Sebastian,2023-11-21,m,pochodnaP.m,223,7,1,0,"pochodnaP(x,",1,31.0,2,2,7,6,1
30,Sebastian,2023-11-22,m,pochodnaTable.m,299,4,0,0,"pochodnaTable(x,f,pd,pp,n)",0,74.0,2,2,8,6,2
31,Sebastian,2023-11-22,m,pochodnaWykres.m,736,24,1,0,"pochodnaWykres(x,f,pd,pp,n)",1,29.708333333333332,18,19,17,6,0
32,Sebastian,2023-12-03,m,funkcjaPodCalka.m,79,3,0,0,funkcjaPodCalka(x),0,25.666666666666668,1,1,3,4,0
33,Sebastian,2023-12-05,m,main.m,7486,172,145,19,rysujWykresWartosciDlaRoznychPrzedzialow(@(x),2,42.52325581395349,8,8,68,47,31
34,Sebastian,2023-12-03,m,romberg.m,1168,35,18,4,"fprintf(""Ekstrapolacja",18,32.4,5,5,21,8,0
35,Sebastian,2023-12-05,m,rombergZWarunkiemStopu.m,2456,62,30,4,"rombergZWarunkiemStopu(a,",30,38.61290322580645,12,13,33,16,2
36,Sebastian,2023-12-05,m,rysujWykresCzasuWykonaniaRomberga.m,692,21,1,3,"'MarkerFaceAlpha',.25,'MarkerEdgeAlpha',.25)",1,32.0,4,13,9,4,3
